tripno,ozone,empst,occ,jbsite,wkweek,female,age,dweltp,pinc,hhsize,nveh,weight,nwkrs,nldr,hinc,trdist,mindst,minsub,dsttrm,nterm,aivtt,rivttg,rivttt,r-acca,r-egrw,r-wait,r-fare,lrdum,tivtt,twait,t-accw,t-egrw,t-fare,mcost,mdist,mspace,lnlots,zcost,zdist,zspace,zcd,zcs,zds,mdpri,mspri,lnlpri,zdpri,zspri,zdspri,free,aavail,tavail,dlic,a-dr,a-pass,transit,rail,walk
5164,895,2,8,1,1,0,49,2,23,2,1,0.62,2,1,45,36,118,1,10,21,78,34.63,0,1.55,3.88,0,3.45,0,9999.99,9999.99,9999.99,9999.99,1.42,6.1,607,4.84,4.5,7.05,75254.34,1.27,-36.43,0.41,-28.77,63,2.48,1.1,10.89,0.25,-1,550,1,1,1,0,0,0,1,-1
5183,193,2,8,1,1,0,32,2,33,2,9,0.69,2,2,133,4,211,17,11,21,22,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,7.05,1,1.44,3.96,0.71,6.22,561,4.97,3.81,5.24,62059.38,0.82,5.55,-0.04,-17.42,0,0,9.99,0,0,0,0,5,1,1,-1,0,1,-1,-1
5185,193,2,8,6,1,0,37,2,70,2,9,0.69,2,2,133,3,762,18,12,21,16,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,6.42,1.58,4.14,3.96,0.71,5.02,737,4.81,3.37,6.23,66105.73,1.03,239.16,-0.43,-40.01,40,2.08,0,0,0,0,0,5,1,1,-1,0,0,-1,1
5378,671,2,8,1,1,0,49,1,43,3,1,0.58,1,2,43,18,255,6,5,20,54,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,30.36,1.83,3.02,4.56,1.42,5.24,557,4.73,4.22,4.48,58990.65,0.68,156.71,0.07,48.72,68,2.85,1.39,192.25,0.49,0,300,4,1,1,-1,0,1,-1,-1
5389,241,2,1,1,1,1,23,4,18,2,1,1.47,2,2,40,11,1451,1,12,22,36,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,30.47,5.13,4.42,1.36,0.71,3.32,686,4.22,3.4,2.51,42918.23,0.36,153.65,0,-46.13,92,2.3,0,0,0,0,0,5,1,1,-1,0,1,-1,-1
5494,9,2,8,1,1,0,37,4,28,2,9,0.8,2,2,60,1,343,6,13,21,4,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,0.42,0.55,3.83,3.44,0.71,5.38,624,4.74,4.22,3.92,65434.12,0.66,114.42,-0.03,34.85,0,0,9.99,0,0,0,0,5,1,1,-1,0,0,-1,1
5605,780,2,3,5,1,0,29,1,33,3,2,0.78,2,2,0,39,223,17,26,22,105,21.56,5.66,12.29,3.38,1,3.31,1,66.14,19.08,2.44,7.13,1.42,6.22,555,5.08,3.64,5.07,52585.39,0.78,35.15,-0.07,33.97,60,2.27,1.61,802.24,0.11,-3,171,2,1,1,0,0,0,1,-1
5639,202,2,8,6,2,1,49,2,38,4,9,0.48,-50,-50,0,5,445,5,12,21,19,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,18.8,1.5,2.16,3.13,0.71,5.31,564,4.77,4.17,3.91,48275.38,0.8,-10.44,0.06,13.96,82,2.83,1.1,50.67,0.84,5,830,5,1,1,-1,0,1,-1,-1
5672,310,2,2,1,1,0,60,4,13,3,1,1.43,9,9,0,19,641,9,3,20,41,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,34.35,3.1,5.82,3.21,0.71,5.04,570,4.53,4.49,4.51,67952.95,0.98,218.58,0.47,81.72,63,3.05,0,0,0,0,0,3,1,1,1,0,0,-1,-1
5712,281,2,8,1,1,0,43,1,53,4,2,0.56,9,9,0,21,233,4,5,20,44,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,39.35,3.95,2.51,4.82,0.71,6.19,642,4.81,4.55,6.48,58538.11,1.03,-18.77,-0.04,-46.71,62,1.95,0,0,0,0,0,2,2,1,0,1,0,-1,-1
