,n_variables,adjusted_r2,intercept,sum of squares,vars,,,,
102,3,0.987565972,-0.36999398,2003.436363,"('dwtype', 'nlic', 'nmale')",,,,
103,3,0.984242189,0.6710386,2538.981874,"('dwtype', 'nlic', 'nchild')",,,,
104,3,0.982267193,1.45524808,2857.203735,"('dwtype', 'nlic', 'n65+')",,,,
105,3,0.994564979,-0.040261765,875.7194136,"('dwtype', 'nftw', 'nptw')",,,,
106,3,0.993713032,0.136183265,1012.989564,"('dwtype', 'nftw', 'nwah')",,,,
107,3,0.993805246,-0.244830507,998.1315535,"('dwtype', 'nftw', 'nstud')",,,,
108,3,0.993785211,-0.146670869,1001.359772,"('dwtype', 'nftw', 'nfem')",,,,
109,3,0.993531244,-0.171166086,1042.280231,"('dwtype', 'nftw', 'nmale')",,,,
110,3,0.993944622,-0.236733107,975.6746091,"('dwtype', 'nftw', 'nchild')",,,,
111,3,0.99355261,0.054192188,1038.837662,"('dwtype', 'nftw', 'n65+')",,,,
112,3,0.981328312,3.273444569,3008.481202,"('dwtype', 'nptw', 'nwah')",,,,
113,3,0.981842889,2.58509919,2925.56984,"('dwtype', 'nptw', 'nstud')",,,,
114,3,0.98317567,2.34285534,2710.825074,"('dwtype', 'nptw', 'nfem')",,,,
115,3,0.987547285,0.251513183,2006.44741,"('dwtype', 'nptw', 'nmale')",,,,
116,3,0.98190861,2.761314689,2914.980592,"('dwtype', 'nptw', 'nchild')",,,,
117,3,0.982804079,3.713959425,2770.697881,"('dwtype', 'nptw', 'n65+')",,,,
118,3,0.98067946,2.167485104,3113.027755,"('dwtype', 'nwah', 'nstud')",,,,
119,3,0.982552027,2.302911043,2811.309793,"('dwtype', 'nwah', 'nfem')",,,,
120,3,0.987120955,0.086454833,2075.139868,"('dwtype', 'nwah', 'nmale')",,,,
121,3,0.979273198,2.716804899,3339.61198,"('dwtype', 'nwah', 'nchild')",,,,
122,3,0.973750353,4.081185908,4229.482005,"('dwtype', 'nwah', 'n65+')",,,,
123,3,0.982553675,2.09356355,2811.044258,"('dwtype', 'nstud', 'nfem')",,,,
124,3,0.987081311,-0.104596586,2081.527617,"('dwtype', 'nstud', 'nmale')",,,,
125,3,0.980909548,2.147530851,3075.954661,"('dwtype', 'nstud', 'nchild')",,,,
126,3,0.983391588,2.584190164,2676.035331,"('dwtype', 'nstud', 'n65+')",,,,
127,3,0.98719481,0.071640193,2063.240015,"('dwtype', 'nfem', 'nmale')",,,,
128,3,0.98278783,2.210081294,2773.315913,"('dwtype', 'nfem', 'nchild')",,,,
129,3,0.988683247,2.687255964,1823.415198,"('dwtype', 'nfem', 'n65+')",,,,
130,3,0.987093464,-0.127067564,2079.56943,"('dwtype', 'nmale', 'nchild')",,,,
131,3,0.990393583,0.205484332,1547.836789,"('dwtype', 'nmale', 'n65+')",,,,
132,3,0.983038019,3.193318985,2733.004173,"('dwtype', 'nchild', 'n65+')",,,,
133,3,0.977609445,-1.437120674,3607.684816,"('npers', 'nveh', 'nlic')",,,,
134,3,0.992035287,-0.871593667,1283.316648,"('npers', 'nveh', 'nftw')",,,,
135,3,0.966647349,-3.149229938,5373.955668,"('npers', 'nveh', 'nptw')",,,,
136,3,0.967244647,-2.27337645,5277.715912,"('npers', 'nveh', 'nwah')",,,,
137,3,0.979942432,-1.217412818,3231.781513,"('npers', 'nveh', 'nstud')",,,,
138,3,0.971446002,-3.655108698,4600.771334,"('npers', 'nveh', 'nfem')",,,,
139,3,0.971714785,-3.635483454,4557.463533,"('npers', 'nveh', 'nmale')",,,,
140,3,0.984154448,-0.866750393,2553.119262,"('npers', 'nveh', 'nchild')",,,,
141,3,0.968098937,-2.222185669,5140.068091,"('npers', 'nveh', 'n65+')",,,,
142,3,0.992094266,-0.924492157,1273.813758,"('npers', 'nlic', 'nftw')",,,,
143,3,0.974605921,-2.848177859,4091.628386,"('npers', 'nlic', 'nptw')",,,,
144,3,0.979428125,-1.67843834,3314.649419,"('npers', 'nlic', 'nwah')",,,,
145,3,0.981925908,-1.343020036,2912.193435,"('npers', 'nlic', 'nstud')",,,,
146,3,0.976657136,-3.287223576,3761.12589,"('npers', 'nlic', 'nfem')",,,,
147,3,0.976562982,-3.261489202,3776.296373,"('npers', 'nlic', 'nmale')",,,,
148,3,0.984160959,-1.027681102,2552.070079,"('npers', 'nlic', 'nchild')",,,,
149,3,0.976237555,-2.413494666,3828.730981,"('npers', 'nlic', 'n65+')",,,,
150,3,0.992650207,-0.825028581,1184.237504,"('npers', 'nftw', 'nptw')",,,,
151,3,0.992186692,-0.887486571,1258.921484,"('npers', 'nftw', 'nwah')",,,,
152,3,0.991908471,-1.070840805,1303.749916,"('npers', 'nftw', 'nstud')",,,,
153,3,0.991980085,-0.895443611,1292.211206,"('npers', 'nftw', 'nfem')",,,,
154,3,0.992081715,-0.81537434,1275.83595,"('npers', 'nftw', 'nmale')",,,,
155,3,0.991847441,-1.128345243,1313.583455,"('npers', 'nftw', 'nchild')",,,,
156,3,0.991827592,-1.151223507,1316.781665,"('npers', 'nftw', 'n65+')",,,,
157,3,0.963889658,-1.937577279,5818.289445,"('npers', 'nptw', 'nwah')",,,,
158,3,0.98016582,-0.06970192,3195.788063,"('npers', 'nptw', 'nstud')",,,,
159,3,0.970196095,-3.131548621,4802.162878,"('npers', 'nptw', 'nfem')",,,,
160,3,0.970514334,-3.126139209,4750.886593,"('npers', 'nptw', 'nmale')",,,,
161,3,0.984141899,-0.974426285,2555.141154,"('npers', 'nptw', 'nchild')",,,,
162,3,0.969742003,-2.117588376,4875.32858,"('npers', 'nptw', 'n65+')",,,,
163,3,0.979355098,-0.351720604,3326.415919,"('npers', 'nwah', 'nstud')",,,,
164,3,0.970226546,-2.869762143,4797.256562,"('npers', 'nwah', 'nfem')",,,,
165,3,0.970665741,-2.877463593,4726.491139,"('npers', 'nwah', 'nmale')",,,,
166,3,0.984295709,-0.778104858,2530.358458,"('npers', 'nwah', 'nchild')",,,,
167,3,0.967326828,-1.417121423,5264.474422,"('npers', 'nwah', 'n65+')",,,,
