,n_variables,adjusted_r2,intercept,sum of squares,vars
160,3,0.129669754,0.477521791,2039.483963,"('npers', 'nptw', 'nmale')"
161,3,0.172302988,0.255335607,1939.57959,"('npers', 'nptw', 'nchild')"
162,3,0.179281899,0.54723907,1923.225594,"('npers', 'nptw', 'n65+')"
163,3,0.184696651,0.309002328,1910.536963,"('npers', 'nwah', 'nstud')"
164,3,0.131793352,0.482031922,2034.507641,"('npers', 'nwah', 'nfem')"
165,3,0.132736427,0.47911295,2032.297691,"('npers', 'nwah', 'nmale')"
166,3,0.175466977,0.259257734,1932.165272,"('npers', 'nwah', 'nchild')"
167,3,0.185681817,0.552017974,1908.228379,"('npers', 'nwah', 'n65+')"
168,3,0.181809584,0.309969718,1917.302358,"('npers', 'nstud', 'nfem')"
169,3,0.18241337,0.308038313,1915.887479,"('npers', 'nstud', 'nmale')"
170,3,0.203359234,0.177874299,1866.804095,"('npers', 'nstud', 'nchild')"
171,3,0.259331908,0.353973974,1735.640812,"('npers', 'nstud', 'n65+')"
172,3,0.127730549,0.469999792,2044.028188,"('npers', 'nfem', 'nmale')"
173,3,0.175945943,0.257383199,1931.04289,"('npers', 'nfem', 'nchild')"
174,3,0.182820503,0.544037275,1914.933426,"('npers', 'nfem', 'n65+')"
175,3,0.176637673,0.255604491,1929.421929,"('npers', 'nmale', 'nchild')"
176,3,0.183446303,0.541553962,1913.46696,"('npers', 'nmale', 'n65+')"
177,3,0.244020319,0.299516832,1771.521148,"('npers', 'nchild', 'n65+')"
178,3,0.424365437,0.155595504,1348.910329,"('nveh', 'nlic', 'nftw')"
179,3,0.1620945,0.491753841,1963.501599,"('nveh', 'nlic', 'nptw')"
180,3,0.159100054,0.5194786,1970.518619,"('nveh', 'nlic', 'nwah')"
181,3,0.155059208,0.522585509,1979.987715,"('nveh', 'nlic', 'nstud')"
182,3,0.164242429,0.419367719,1958.46826,"('nveh', 'nlic', 'nfem')"
183,3,0.175707871,0.414778896,1931.600774,"('nveh', 'nlic', 'nmale')"
184,3,0.15359092,0.510043197,1983.428421,"('nveh', 'nlic', 'nchild')"
185,3,0.175882831,0.612316154,1931.190783,"('nveh', 'nlic', 'n65+')"
186,3,0.468524848,0.084183137,1245.429598,"('nveh', 'nftw', 'nptw')"
187,3,0.423287915,0.179281868,1351.435337,"('nveh', 'nftw', 'nwah')"
188,3,0.422414685,0.179314341,1353.481616,"('nveh', 'nftw', 'nstud')"
189,3,0.422064843,0.170567067,1354.301416,"('nveh', 'nftw', 'nfem')"
190,3,0.422972103,0.167809176,1352.175394,"('nveh', 'nftw', 'nmale')"
191,3,0.421291273,0.193914766,1356.114156,"('nveh', 'nftw', 'nchild')"
192,3,0.423647848,0.231687673,1350.59189,"('nveh', 'nftw', 'n65+')"
193,3,0.095020193,0.768713756,2120.679835,"('nveh', 'nptw', 'nwah')"
194,3,0.094113924,0.771719647,2122.803538,"('nveh', 'nptw', 'nstud')"
195,3,0.108291877,0.633598953,2089.579703,"('nveh', 'nptw', 'nfem')"
196,3,0.138761135,0.56229279,2018.179721,"('nveh', 'nptw', 'nmale')"
197,3,0.092756752,0.757383043,2125.983858,"('nveh', 'nptw', 'nchild')"
198,3,0.129752208,0.851676075,2039.290744,"('nveh', 'nptw', 'n65+')"
199,3,0.080235661,0.81016903,2155.325093,"('nveh', 'nwah', 'nstud')"
200,3,0.1029957,0.653251026,2101.990473,"('nveh', 'nwah', 'nfem')"
201,3,0.134741786,0.589589038,2027.598443,"('nveh', 'nwah', 'nmale')"
202,3,0.080868419,0.805941178,2153.842323,"('nveh', 'nwah', 'nchild')"
